title, imdb_rating
Bwakaw,7.0/10
Manchester by the Sea,7.8/10
Bye Bye London,8.8/10
Bypass Road,5.4/10
C Kkompany,5.4/10
Cabin Fever,5.6/10
Cabins in the Wild with Dick Strawbridge,6.8/10
Cable Girls,7.6/10
Cadaver,5.1/10
Caída del Cielo,5.3/10
Cain and Abel,7.7/10
4th Republic,6.4/10
Layer Cake,7.3/10
Calendar Girls,6.9/10
Calibre,6.8/10
Caliphate,8.2/10
5 Cowok Jagoan: Rise of the Zombies,6.2/10
Call the Midwife,8.4/10
Calum Von Moger: Unbroken,6.3/10
Cam,5.9/10
Camelia La Texana,7.7/10
Camera Store,5.7/10
Camp Cool Kids,4.7/10
5 Flights Up,6.2/10
Camp X-Ray,6.9/10
Camp X-Ray,6.9/10
Can We Get Married?,7.0/10
Can you hear me?,7.8/10
Can't Hardly Wait,6.5/10
Can't Help Falling in Love,7.2/10
Candy Jar,5.8/10
Candy Online,5.2/10
Red Riding: The Year of Our Lord 1983,7.2/10
Candyflip,6.0/10
Candyman,6.6/10
Kid Cannabis,6.4/10
Cannon Busters,6.9/10
Canvas,6.5/10
Capital in the Twenty-First Century,7.4/10
Cappuccino,6.6/10
Captain Underpants: Epic Choice-o-rama,6.4/10
Captain Underpants: Mega Blissmas,5.2/10
Captive State,6.0/10
5 to 7,7.1/10
Car Masters: Rust to Riches,8.8/10
Altered Carbon,8.0/10
Cardboard Gangsters,6.4/10
Cardcaptor Sakura,8.0/10
Care Bears: Welcome to Care-a-Lot,5.5/10
Caregiver,6.3/10
Cargo,6.3/10
Carlos Almaraz: Playing with Fire,7.5/10
50 First Dates,6.8/10
Carlos Ballarta: El amor es de putos,7.1/10
Carmel: ¿Quién mató a María Marta?,7.1/10
Carmen Sandiego,7.9/10
Carmen Sandiego: To Steal or Not to Steal,7.0/10
Carol,7.2/10
Carrie,7.4/10
Carrie Pilby,6.7/10
Carriers,6.0/10
50/50,7.6/10
Casa de mi Padre,5.5/10
The Curious Case of Benjamin Button,7.8/10
Case 39,6.2/10
Case Closed,8.7/10
Casino Royale,8.0/10
Casting JonBenet,6.1/10
Barbie and the Diamond Castle,6.4/10
Castlevania,8.3/10
Cat on a Hot Tin Roof,8.0/10
Catch Me If You Can,8.1/10
Catching Feelings,5.7/10
Catching the Sun,6.8/10
Catfight,5.9/10
Cathedral of the Sea,7.5/10
Catwalk: Tales from the Cat Show Circuit,6.3/10
5Gang: Un Altfel de Craciun,1.8/10
Paranormal Caught on Camera,6.1/10
The Cave,5.1/10
Cedric the Entertainer: Live from the Ville,6.0/10
Celluloid Man,7.8/10
Center Stage,6.7/10
Chaahat,5.5/10
6 Balloons,5.9/10
Chadi Jawani Budhe Nu,4.3/10
Chal Bhaag,4.2/10
Chal Mere Bhai,4.7/10
Challenger: The Final Flight,7.9/10
Chalte Chalte,6.6/10
Chaman Bahaar,7.0/10
Chamatkar,6.6/10
Chambers,6.5/10
6 Days,6.2/10
Chameli,7.0/10
Breakfast of Champions,4.6/10
Chance Pe Dance,4.7/10
Chandani: The Daughter of the Elephant Whisperer,7.0/10
Change in the Air,5.6/10
Chappaquiddick,6.5/10
Chappie,6.8/10
6 Underground,6.1/10
Charlie and the Chocolate Factory,6.6/10
Charlie's Angels,5.6/10
Charlie's Angels: Full Throttle,4.9/10
Charlie's Colorforms City,7.1/10
Charlotte's Web,6.3/10
Charmed,7.1/10
Geek Charming,6.4/10
Chashme Baddoor,5.4/10
Chashme Buddoor,8.0/10
Chasing Amy,7.2/10
6 Years,5.6/10
Chasing Cameron,3.7/10
Chasing Coral,8.1/10
Chasing Monsters,7.4/10
Chasing the Dragon,6.8/10
Chasing Trane: The John Coltrane Documentary,7.3/10
Cheapest Weddings,5.9/10
Check the Store Next Door: The Next Chapter,7.8/10
Cheer,8.1/10
eung-dab-hala 1994,7.8/10
6-5=2,5.9/10
Cheer Squad,7.4/10
Cheers,7.9/10
Cheese in the Trap,7.4/10
Chef,7.3/10
Chef's Table,8.5/10
Chef's Table: BBQ,7.8/10
Chef's Table: France,8.3/10
Chelsea Lately,5.9/10
Chelsea Does,7.2/10
60 Days In,7.7/10
Chelsea Peretti: One of the Greats,7.0/10
Chennai Express,6.0/10
Chernobyl Diaries,5.0/10
Chewin' the Fat,8.2/10
Chewing Gum,7.7/10
Chhota Bheem,4.3/10
Chhota Bheem and the Curse of Damyaan,5.7/10
68 Kill,6.0/10
Chicken Kokkachi,4.8/10
Chicken Little,5.7/10
Chico Bon Bon and the Very Berry Holiday,5.8/10
Chico Bon Bon: Monkey with a Tool Belt,6.7/10
7 Plus Seven,8.0/10
Chief Daddy,5.1/10
Chief of Staff,7.9/10
Child's Play,6.6/10
Children of a Lesser God,7.2/10
Chilling Adventures of Sabrina,7.5/10
China Salesman,2.9/10
Chingo Bling: They Can't Deport Us All,6.3/10
Chip and Potato,6.2/10
Chippa,6.5/10
Chittagong,7.3/10
Chitty Chitty Bang Bang,6.9/10
Chloe,6.3/10
Charlie and the Chocolate Factory,6.6/10
7 Days Out,6.8/10
Chopsticks,6.5/10
The Chosen,9.7/10
Chris Brown: Welcome to My Life,5.7/10
Chris D'Elia: Incorrigible,6.5/10
Chris D'Elia: Man on Fire,6.6/10
Chris D'Elia: No Pain,5.9/10
Chris Rock Total Blackout: The Tamborine Extended Cut,7.0/10
Chris Rock: Tamborine,6.6/10
Chris Tucker Live,6.3/10
Christian Mingle,4.3/10
Christina P: Mother Inferior,6.3/10
Christine,6.7/10
Christmas Break-In,4.4/10
A Christmas Crush,4.6/10
Christmas in the Heartland,5.9/10
Christmas in the Smokies,5.8/10
Christmas Inheritance,5.7/10
Christmas Survival,5.1/10
7 Khoon Maaf,6.1/10
Christmas Wedding Planner,4.4/10
Christmas with a Prince,5.2/10
Christmas with a View,5.2/10
Christmas with the Kranks,5.4/10
Christopher Robin,7.3/10
Chronically Metropolitan,5.0/10
Chronicle of an Escape,7.2/10
72 Cutest Animals,5.8/10
Chuck Chicken,6.0/10
Chup Chup Ke,6.8/10
Chupke Chupke,8.3/10
CIA: Comrade in America,6.5/10
Cinar Agaci,6.2/10
72 Dangerous Animals - Asia,6.6/10
Kingsman: The Golden Circle,6.7/10
Circus of Books,7.1/10
Cirque du Freak: The Vampire's Assistant,5.8/10
Citation,6.2/10
Cities of Last Things,6.2/10
72 Dangerous Animals: Latin America,6.6/10
City in the Sky,8.0/10
City of God,8.6/10
City of God: 10 Years Later,6.4/10
City of Joy,6.5/10
City of Tiny Lights,5.5/10
Africa's Great Civilizations,6.7/10
Le Clair obscur,6.4/10
Clannad: After Story,8.6/10
Clarence Clemons: Who Do I Think I Am?,6.2/10
Clash of the Titans,5.8/10
72 Dangerous Places to Live,6.3/10
Class of '61,5.5/10
Class of 83,5.8/10
Class Rank,6.4/10
Classic Legends,7.6/10
Cleopatra Jones,5.9/10
Cleverman,6.4/10
Click,6.4/10
Click for Murder,6.0/10
Clinical,5.1/10
7Seeds,6.4/10
Clive Davis: The Soundtrack of Our Lives,7.5/10
Close Encounters of the Third Kind,7.6/10
Enemies Close,8.4/10
Closed Circuit,6.2/10
Cloud Atlas,7.4/10
Clouds of Sils Maria,6.7/10
Cloudy with a Chance of Meatballs,6.9/10
Cloudy with a Chance of Meatballs 2,6.4/10
Cloverfield,7.0/10
9 Months That Made You,7.0/10
Coach Carter,7.3/10
90 ML,3.4/10
Coach Snoop,6.8/10
Cobra Kai,8.6/10
Cocaine Cowboys,7.8/10
Coco y Raulito: Carrusel de ternura,6.6/10
Cocomelon,5.1/10
Cocomong,4.3/10
Code 8,6.1/10
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,8.7/10
Code Lyoko,7.3/10
93 Days,6.0/10
Code Name: The Cleaner,4.6/10
Coffee with D,4.4/10
Coin Heist,4.8/10
Cold Case Files,8.1/10
Cold Feet,8.2/10
Cold Harbour,5.3/10
Colin Quinn: Red State Blue State,7.6/10
A 2nd Chance,5.1/10
Colin Quinn: The New York Story,6.8/10
Colin Quinn: Unconstitutional,7.1/10
Colkatay Columbus,3.9/10
Collateral,7.5/10
College Romance,8.9/10
Colonia,7.1/10
The Colony,5.3/10
The Color of a Woman,5.2/10
Rang Rasiya,7.0/10
Come and Find Me,5.7/10
A 3 Minute Hug,6.5/10
Come Sunday,6.0/10
Comedians in Cars Getting Coffee,8.1/10
Comedians of the World,6.4/10
Comedy Bang! Bang!,7.6/10
Command and Control,7.3/10
Community,8.5/10
In Good Company,6.4/10
Compulsion,7.4/10
A Babysitter's Guide to Monster Hunting,5.4/10
Concrete Football,6.4/10
Concussion,7.1/10
Lo and Behold: Reveries of the Connected World,7.0/10
Conor McGregor: Notorious,7.1/10
The Consequences of Love,7.5/10
The Consequences of Love,7.5/10
Conspiracy Theory,6.7/10
Containment,7.2/10
A Bad Moms Christmas,5.6/10
The Contract,5.6/10
Control Z,6.9/10
Conversations with a Killer: The Ted Bundy Tapes,7.8/10
Convict 13,7.1/10
Eddie's Million Dollar Cook-Off,6.1/10
Cooked,8.1/10
Cooked with Cannabis,6.6/10
Cooking on High,4.9/10
Cool Hand Luke,8.1/10
Cop and a Half: New Recruit,5.3/10
3022,4.5/10
A Beautiful Life,6.7/10
Cop Car,6.3/10
Cops and Robbers,6.3/10
Coraline,7.7/10
Pablo Escobar: Countdown to Death,6.5/10
Counterfeiting in Suburbia,4.9/10
CounterPunch,6.7/10
Country Ever After,6.4/10
A Billion Colour Story,8.1/10
A Couple of Days and Nights,8.3/10
Couples Counseling,5.6/10
Court Justice: Sydney,6.9/10
Covered-Alive in Asia,5.6/10
Cowspiracy: The Sustainability Secret,8.2/10
Craig Ferguson: Tickle Fight,6.6/10
Crash,7.7/10
A Boy Called Po,6.6/10
Crashing,7.7/10
Crazy Beautiful You,7.2/10
Crazy Delicious,6.7/10
Crazy Ex-Girlfriend,7.8/10
Crazy People,6.0/10
Crazyhead,7.3/10
Crd,6.2/10
Creating the Queen's Gambit,6.9/10
Re: Creators,7.1/10
Creep,6.3/10
Creep 2,6.5/10
Creeped Out,6.6/10
Cricket Fever: Mumbai Indians,7.3/10
Annika Bengtzon: Crime Reporter - Prime Time,5.8/10
Criminal Minds,8.0/10
Criminal: France,7.2/10
A Bridge Too Far,7.4/10
Criminal: Germany,7.7/10
Criminal: Spain,6.9/10
Criminal: UK,7.6/10
Cristela Alonzo: Lower Classy,6.4/10
Vicky Cristina Barcelona,7.1/10
Cuba and the Cameraman,8.3/10
A California Christmas,5.8/10
Cuckoo,7.2/10
Cuddle Weather,6.1/10
Cult of Chucky,5.2/10
Curon,5.8/10
Cursed,5.0/10
Curtiz,6.0/10
Cut Bank,6.1/10
Cutie and the Boxer,7.2/10
Heart of a Champion: The Ray Mancini Story,6.2/10
Cuties,1.5/10
Cyborg 009 vs Devilman,6.1/10
Cyborg 009: Call of Justice,5.8/10
Cycle,9.1/10
D.L. Hughley: Clear,6.8/10
D.L. Hughley: Contrarian,6.6/10
Da 5 Bloods,6.5/10
Dabbe 6: The Return,5.5/10
American Dad!,7.3/10
Dad Wanted,5.7/10
Dad's Army,5.2/10
Daddy Day Care,5.6/10
Cuckoo on a Choo Choo,6.7/10
Daddy Issues,4.2/10
Daemonium: Underground Soldier,4.1/10
Daffedar,5.4/10
Dallas Buyers Club,8.0/10
Resident Evil: Damnation,6.5/10
Dance Academy,8.1/10
Catch a Christmas Star,6.3/10
Dance Dreams: Hot Chocolate Nutcracker,7.2/10
Dancing Queen,7.0/10
Dancing with the Birds,8.3/10
Yankee Doodle Dandy,7.7/10
Dangal,8.4/10
Danger Mouse,7.4/10
Dangerous Lies,5.3/10
A Christmas Prince,5.8/10
World's Most Dangerous Roads,7.5/10
Daniel Sloss: Live Shows,8.6/10
Daniel Sosa: Maleducado,6.2/10
Daniel Sosa: Sosafado,5.4/10
Danny Says,6.7/10
Dante's Peak,6.0/10
Danur: I Can See Ghosts,5.4/10
Dany Boon: Des Hauts-De-France,6.2/10
Darc,5.8/10
Dare Me,6.7/10
A Christmas Prince: The Royal Baby,5.4/10
Dare to Be Wild,6.5/10
The Dark Knight,9.0/10
Crimes at the Dark House,6.2/10
Dark Desire,6.4/10
Star Wars: Jedi Knight - Dark Forces II,8.5/10
Dark Light,4.2/10
Dark Matter,7.5/10
Dark Places,6.2/10
Dark Skies,6.3/10
A Christmas Prince: The Royal Wedding,5.3/10
Dark Tourist,7.5/10
Dark Waters,7.6/10
Darna Mana Hai,6.3/10
Darr Sabko Lagta Hai,6.0/10
Darra,5.1/10
Dating Around,6.3/10
Daughters of Destiny,8.6/10
Daughters of the Dust,6.6/10
Dave Chappelle: Sticks & Stones,8.5/10
David Attenborough: A Life on Our Planet,9.0/10
David Batra: Elefanten i Rummet,5.9/10
David Brent: Life on the Road,6.3/10
David Cross: Making America Great Again,6.5/10
David Foster: Off the Record,6.9/10
Dawai 2 asmara,6.8/10
A Cinderella Story,5.9/10
Dawn of the Croods,6.0/10
Dawson's Creek,6.6/10
All Day and a Night,5.8/10
Day of the Dead: Bloodline,3.4/10
Daybreak,6.7/10
Days We Stared at the Sun,7.9/10
Dayveon,6.3/10
DC Super Hero Girls,7.0/10
DC's Legends of Tomorrow,6.8/10
De Film van Dylan Haegens,4.3/10
A Cinderella Story: Christmas Wish,5.3/10
De Palma,7.4/10
Dead in a Week Or Your Money Back,6.3/10
Dead Kids,5.5/10
Dead Set,7.6/10
Dead to Me,8.0/10
Deadcon,2.8/10
Deadline: Sirf 24 Ghante,6.3/10
Deadly Switch,4.5/10
Deadwind: The Sharting Dead,8.1/10
A Clockwork Orange,8.3/10
Deaf U,6.4/10
James Dean,7.3/10
Dear Dad,6.3/10
Dear Dracula,5.3/10
Dear Santa,6.5/10
Dear White People,6.1/10
Dear Zindagi,7.5/10
Death at a Funeral,7.4/10
A Dangerous Woman,5.8/10
Death by Magic,6.1/10
Death Can Wait,7.8/10
Death House,3.0/10
Death Note,9.0/10
Death of Me,4.4/10
Death Race 4: Beyond Anarchy,5.2/10
Death to 2020,6.8/10
Deathgrip,6.3/10
Dedemin Fisi,5.5/10
Dedh Ishqiya,7.1/10
A Fairly Odd Summer,3.8/10
Deep Impact,6.2/10
Deep Water,6.9/10
Deewana Main Deewana,2.4/10
Deewangee,6.6/10
Def Comedy Jam 25,6.7/10
Defiance,7.2/10
Defying the Nazis: The Sharps' War,7.1/10
Degrassi: Next Class,6.9/10
A Fall from Grace,5.9/10
Delhi-6,6.1/10
Delhi Belly,7.6/10
Delhi Crime,8.5/10
Deliha,4.5/10
Deliha 2,4.5/10
Delirium,5.8/10
DeMarcus Family Rules,6.2/10
Demetri Martin: Live (At the Time),7.4/10
Demetri Martin: The Overthinker,7.2/10
Democrats,7.5/10
A Family Affair,7.0/10
Demonic,5.3/10
Den of Thieves,7.0/10
Denis Leary: No Cure for Cancer,7.5/10
Deon Cole: Cole Hearted,6.9/10
DeRay Davis: How to Act Black,6.1/10
Derek,8.0/10
Derren Brown: Miracle,6.6/10
Derren Brown: Sacrifice,7.1/10
A Family Man,6.5/10
Derry Girls,8.4/10
Designated Survivor,7.5/10
A Streetcar Named Desire,8.0/10
Arabian Nights: Volume 2 - The Desolate One,7.1/10
The Hobbit: The Desolation of Smaug,7.8/10
Desperados,5.2/10
Despido procedente,5.0/10
Despite Everything,5.4/10
A Family Reunion Christmas,5.7/10
Tenacious D in the Pick of Destiny,6.8/10
Detention,5.7/10
Detour,7.4/10
Deuces Wild,5.6/10
Dev.D,8.0/10
Deviant Love,3.6/10
Devil's Bride,8.5/10
Devil's Gate,5.1/10
Devilman: Crybaby,7.6/10
A Flying Jatt,3.0/10
Devlok with Devdutt Pattanaik,7.9/10
Devrai,7.8/10
Dexter,8.6/10
Dhamaal,7.3/10
Dhan Dhana Dhan Goal,5.0/10
Dhanak,7.9/10
Dharam Sankat Mein,6.3/10
Dharmakshetra,8.2/10
Dhh,7.8/10
A Fortunate Man,7.2/10
Dhoondte Reh Jaoge,5.6/10
Diablero,6.7/10
Diagnosis Murder,6.8/10
Diamond City,5.8/10
Diamond Lover,6.2/10
Lucy in the Sky with Diamonds,8.7/10
Diana: In Her Own Words,7.8/10
A Futile and Stupid Gesture,6.8/10
The Diary of a Chambermaid,6.6/10
Dick Johnson Is Dead,7.5/10
Die Another Day,6.1/10
Die Ontwaking,4.3/10
Dieter Nuhr: Nuhr in Berlin,4.7/10
Dil Bechara,6.6/10
Dil Chahta Hai,8.1/10
Dil Dhadakne Do,6.9/10
A Ghost Story,6.9/10
Dil Hai Tumhaara,5.3/10
Dil Se..,7.6/10
Dil Vil Pyaar Vyaar,6.5/10
Dilan 1990,7.3/10
Dilan 1991,6.7/10
Dilwale Dulhania Le Jayenge,8.1/10
Dinner for Five,8.1/10
Dinner for Schmucks,5.9/10
Dino Girl Gauko,6.8/10
Dino Hunt Canada,6.8/10
A Glimpse Inside the Mind of Charles Swan III,4.7/10
King Dinosaur,2.1/10
Dinotrux,6.9/10
Dinotrux Supercharged,7.2/10
Dirty John,7.2/10
Dirty Sexy Money,7.2/10
The Disappearance of Alice Creed,6.7/10
Disclosure,6.1/10
Disco Dancer,6.4/10
Disconnect,7.5/10
A Go! Go! Cory Carson Christmas,6.4/10
Discovering Bigfoot,4.0/10
Disenchantment,7.2/10
Disjointed,6.8/10
Dismissed,5.7/10
District 9,7.9/10
Divines,7.4/10
Django Unchained,8.4/10
DNA,7.3/10
Do Do Sol Sol La La Sol,7.4/10
Do Dooni Chaar,7.5/10
Doctor Foster,7.7/10
Doctor Zhivago,8.0/10
Documentary Now!,8.1/10
Dog Eat Dog,4.7/10
Reservoir Dogs,8.3/10
Dogs of Berlin,7.6/10
Dolemite Is My Name,7.3/10
Million Dollar Baby,8.1/10
Dolly Kitty Aur Woh Chamakte Sitare,5.4/10
Dolly Parton: Here I Am,7.3/10
Dolly Parton's Heartstrings,7.6/10
Dolphin Kick,4.4/10
Dolphin Tale 2,6.4/10
Domino,5.9/10
Don Jon,6.5/10
Don 2,7.1/10
A Good Wife,6.7/10
Don Verdean,5.4/10
Don't Be Afraid of the Dark,5.6/10
Don't Crack Under Pressure,6.5/10
Don't Crack Under Pressure II,6.8/10
Don't Crack Under Pressure III,6.9/10
Don't F**k with Cats: Hunting an Internet Killer,8.0/10
Don't Go Breaking My Heart,6.7/10
Don't Knock Twice,5.1/10
A Grand Night In: The Story of Aardman,7.6/10
Don't Look Down,4.7/10
Don't Think Twice,6.7/10
Donald Glover: Weirdo,7.4/10
Donnie Brasco,7.7/10
Indiana Jones and the Temple of Doom,7.5/10
Doom: Annihilation,3.7/10
Doomsday Preppers,6.1/10
Dope,7.2/10
A Gray State,6.2/10
Dorohedoro,8.2/10
Dostana,6.5/10
Double Dad,5.7/10
Double Jeopardy,6.5/10
Double World,6.1/10
Doubt,7.5/10
Dovlatov,6.4/10
Down the Fence,7.5/10
A Haunted House,5.0/10
Down to Earth with Zac Efron,8.1/10
Dr Jason Leong: Hashtag Blessed,7.0/10
Dr. Seuss' the Grinch Musical,3.7/10
Dracula,7.4/10
Dragon Quest: Your Story,6.6/10
Dragon's Dogma,6.3/10
DragonHeart,6.5/10
Dragonheart: A New Beginning,4.6/10
Dragonheart: Battle for the Heartfire,5.3/10
Dragonheart Vengeance,5.3/10
Dragons: Dawn of the Dragon Racers,7.0/10
Dragons: Race to the Edge,8.3/10
Dragons: Rescue Riders,6.1/10
Dragons: Rescue Riders: Hunt for the Golden Dragon,5.4/10
Dragons: Rescue Riders: Huttsgalor Holiday,5.8/10
Dragons: Rescue Riders: Secrets of the Songwing,5.5/10
Dramaworld,7.5/10
Dream Big: Engineering Our World,6.4/10
Dream Boat,5.4/10
Dream Home Makeover,5.6/10
Dream/Killer,7.4/10
Dreamworks Happy Holidays from Madagascar,6.8/10
DreamWorks Holiday Classics,6.5/10
Dreamworks How to Train Your Dragon Legends,7.7/10
Dreamworks Kung Fu Panda Awesome Secrets,6.4/10
DreamWorks Shrek's Swamp Stories,6.6/10
Dreamworks Spooky Stories,6.8/10
Dries,6.9/10
Drifting Dragons,6.0/10
Drink Drank Drunk,4.4/10
Drishyam,8.2/10
Drive,7.8/10
Home with a View of the Monster,4.0/10
Droppin' Cash: Los Angeles,3.5/10
Drug Lords,6.8/10
Drunk Parents,3.9/10
Dry Martina,5.8/10
Duck Butter,5.3/10
Duck Duck Goose,5.8/10
Dukhtar,7.0/10
Dum Laga Ke Haisha,7.5/10
Dumb and Dumberer: When Harry Met Lloyd,3.4/10
Dumplin',6.6/10
Wagle Ki Duniya,7.3/10
Duplicate,5.5/10
Durarara!!,7.9/10
Jaani Dushman: Ek Anokhi Kahani,2.8/10
A Kid from Coney Island,7.1/10
Dying to Tell,6.8/10
Dynasty,7.3/10
E-Team,7.1/10
Earth to Echo,5.8/10
Earth to Luna!,7.9/10
Earth's Natural Wonders,7.6/10
Earthquake Bird,5.9/10
A Kind of Murder,5.3/10
East Side Sushi,7.2/10
Eastsiders,6.9/10
Easy A,7.0/10
Easy A,7.0/10
Eat Pray Love,5.8/10
Echo in the Canyon,6.9/10
Eddie Murphy: Delirious,8.2/10
Eddie Murphy: Raw,7.7/10
Edge of Fear,4.4/10
The Edge of Seventeen,7.3/10
Journey to the Edge of the Universe,8.5/10
Edha,4.9/10
Edoardo Ferrario: Temi Caldi,6.8/10
Ee Nagaraniki Emaindi,7.9/10
Eeda,7.1/10
Lake Eerie,4.8/10
Effie Gray,6.0/10
Eh Janam Tumhare Lekhe,8.6/10
Einsatzgruppen: The Nazi Death Squads,7.6/10
Either Me or My Auntie,5.3/10
Ek Cup Chya,7.4/10
Ek Hasina Thi,7.5/10
Ek Jaan Hain Hum,6.5/10
Ek Khiladi Ek Haseena,5.7/10
A Leaf of Faith,7.1/10
Ek Ladki Ko Dekha Toh Aisa Laga,5.5/10
Ek Main Aur Ekk Tu,5.7/10
Eksi Elmalar,7.2/10
El barco,7.3/10
El Camino Christmas,5.7/10
El Camino: A Breaking Bad Movie,7.3/10
El cartel de los sapos,6.4/10
El cartel 2 - La guerra total,6.9/10
El Chapo,7.8/10
El Chavo del Ocho,8.6/10
El Crazy Che,7.2/10
El Clon,6.8/10
El club de los buenos infieles,5.6/10
El Club de los Insomnes,6.3/10
El desconocido,6.6/10
El fin de ETA,6.9/10
A Lion in the House,8.8/10
El marginal,8.2/10
El Reemplazante,8.5/10
El sendero de la anaconda,6.8/10
El silencio es bienvenido,4.6/10
El testigo,8.1/10
El Vato,6.7/10
A Little Chaos,6.5/10
Elaan,5.3/10
Elena,7.3/10
Elevator Baby,7.0/10
The Book of Eli,6.9/10
Killer Elite,6.4/10
A Little Help with Carol Burnett,6.3/10
Elizabeth at 90: A Family Tribute,7.7/10
Elizabeth Harvest,5.8/10
Ellen DeGeneres: Relatable,6.5/10
Elles ont toutes une histoire,6.2/10
Elliot the Littlest Reindeer,5.1/10
Elstree 1976,5.9/10
Emelie,5.4/10
EMI: Liya Hai To Chukana Padega,4.2/10
A Little Thing Called First Love,8.0/10
Emily in Paris,7.0/10
Emily's Wonder Lab,8.6/10
Emma' (Mother),7.0/10
Emo the Musical,6.0/10
Emogenius,4.1/10
Empire Games,5.7/10
Employee of the Month,5.5/10
Encerrados,7.0/10
7:19,5.9/10
A Love So Beautiful,7.4/10
Encounter: The Killing,6.3/10
Encounters with Evil,6.8/10
End Game,5.1/10
End of Watch,7.6/10
Enemy at the Gates,7.6/10
Engineering Girls,7.0/10
English Babu Desi Mem,4.7/10
Enissa Amani: Ehrenwort,5.6/10
Enlighten Us,6.2/10
A Love Song for Latasha,6.8/10
Enola Holmes,6.6/10
Entangled,4.1/10
Entanglement,6.0/10
Enter the Anime,2.5/10
Enter the Dragon,7.7/10
Episodes,7.8/10
Equals,6.1/10
Equestria Girls: Tales of Canterlot High,9.3/10
Equilibrium,7.4/10
Wristcutters: A Love Story,7.3/10
Equinox,6.1/10
Boy Erased,6.9/10
Eric Andre: Legalize Everything,6.2/10
Welad el-Amm,7.3/10
Esperando la carroza 2: Se acabó la fiesta,3.2/10
A Man Called God,6.1/10
Estar o no estar,5.3/10
Love Eternal,6.1/10
Ethirmarai,5.1/10
Ethos,7.5/10
Eugenie Nights,7.3/10
Euphoria,8.4/10
Eurovision Song Contest: The Story of Fire Saga,6.5/10
Eurovision Song Contest: The Story of Fire Saga,6.5/10
Evan Almighty,5.4/10
Evelyn,7.0/10
Evening Shadows,7.1/10
Event Horizon,6.7/10
Ever After High,8.0/10
Every Time I Die,5.2/10
Everybody Knows,6.9/10
Everyday I Love You,7.1/10
Everything About Her,7.2/10
Everything Sucks!,7.5/10
Resident Evil,6.7/10
Evil Genius: The True Story of America's Most Diabolical Bank Heist,7.5/10
Underworld: Evolution,6.7/10
Evvarikee Cheppoddu,7.2/10
Ex Machina,7.7/10
Examination of Conscience,7.9/10
Exclusive Interview with Master Lyricist Tim Rice: Jesus Christ Superstar Special Edition DVD,7.2/10
A Monster Calls,7.5/10
Executive Decision,6.4/10
Exes Baggage,6.7/10
Exhibit A,6.1/10
Exit Afghanistan,6.2/10
Exit Strategy,7.6/10
Exit Wounds,5.6/10
Expedition China,6.4/10
Expedition Happiness,5.9/10
Rakuen Tsuiho: Expelled from Paradise,6.7/10
Explained,8.1/10
A Most Violent Year,7.0/10
Expo,4.4/10
Transformers: Age of Extinction,5.6/10
Extraction,6.7/10
Extracurricular,7.7/10
Extras,8.3/10
Extreme Engagement,5.7/10
Extremis,7.3/10
Eye for an Eye,6.2/10
Eyyvah Eyvah,7.0/10
A Murder in the Park,7.3/10
Eyyvah Eyvah 2,6.6/10
Eyyvah Eyvah 3,5.9/10
Ezel,8.6/10
F Is for Family,8.0/10
F*&% the Prom,4.2/10
F.R.E.D.I.,5.1/10
Fabrizio Copano: Solo pienso en mi,4.8/10
Fabulous Lives of Bollywood Wives,4.7/10
Face 2 Face,6.8/10
A New Capitalism,6.3/10
Fairy Tail: Fearî teiru,8.0/10
Fake or Fortune?,8.6/10
Fakkah Fuzz: Almost Banned,4.2/10
Fakta Ladh Mhana,6.3/10
Fall Girls,4.0/10
Fall in Love with Me,7.2/10
Transformers: Revenge of the Fallen,6.0/10
Fallet,6.8/10
A New York Christmas Wedding,5.4/10
Falling Inn Love,5.6/10
Falsa Identidad,7.2/10
Familiye,6.4/10
Family Blood,4.2/10
Family Business,5.8/10
Madea's Family Reunion,5.3/10
Famous In Ahmedabad,7.5/10
Fan of Amoory,5.0/10
A Night at the Roxbury,6.2/10
The Fanatic,4.1/10
Fanatyk,6.6/10
Fandry,8.3/10
Fangbone!,5.7/10
Una mujer fantástica,7.2/10
Sandeep Aur Pinky Faraar,6.3/10
Delta Farce,3.6/10
Fartsa,6.7/10
Fary Is the New Black,6.0/10
A Noble Intention,6.7/10
Fashion,6.9/10
Fastest Car,7.1/10
Fatal Affair,4.5/10
Fate/Apocrypha,6.6/10
Fate/Extra Last Encore,5.4/10
Fate/Grand Order: First Order,5.7/10
Fate/stay night: Unlimited Blade Works,8.0/10
A Patch of Fog,6.4/10
Fate/Zero,8.3/10
Father Brown,7.7/10
Father of the Year,5.2/10
Father Soldier Son,7.3/10
Fatso,5.6/10
Fauda,8.2/10
Fear and Loathing in Las Vegas,7.6/10
Fear City: New York vs the Mafia,7.1/10
Fear Files: Har Mod Pe Darr,5.0/10
Fearless,7.1/10
A Perfect Crime,7.3/10
Feel Good,7.5/10
Feel Rich: Health Is the New Wealth,6.4/10
Feel the Beat,6.3/10
Felipe Esparza: Bad Decisions,5.0/10
Felix Lobrecht: Hype,6.1/10
Feminists: What Were They Thinking?,7.0/10
Feo pero Sabroso,4.2/10
Fernando Sanjiao: Hombre,6.3/10
A Perfect Ending,5.7/10
Ferrari Ki Sawaari,6.4/10
Ferris Bueller's Day Off,7.8/10
Fida,5.5/10
